%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,29/04/2021
%Start time:,15:35:57

%timestep (8Hz),voltage,position,velocity
%[#],[V],[turns],[turns/s]
2.0,0.0,114.560791015625,0.0;
72.0,0.0,114.560791015625,0.0;
120.0,0.0,114.560791015625,0.0;
171.0,0.0,114.56082153320312,0.0038146974984556437;
214.0,0.0,114.56082153320312,0.0;
258.0,0.0,114.56082153320312,0.0;
304.0,0.0,114.56082153320312,0.0;
347.0,0.0,114.56082153320312,0.0;
390.0,0.0,114.56082153320312,0.0;
434.0,0.0,114.56082153320312,0.0;
476.0,0.0,114.56082153320312,0.0;
521.0,0.0,114.56082153320312,0.0;
565.0,0.0,114.56082153320312,0.0;
607.0,0.0,114.56082153320312,0.0;
650.0,0.0,114.56082153320312,0.0;
692.0,0.0,114.56082153320312,0.0;
734.0,0.0,114.56082153320312,0.0;
777.0,0.0,114.56082153320312,0.0;
820.0,0.0,114.56082153320312,0.0;
863.0,0.0,114.56082153320312,0.0;
906.0,0.0,114.56082153320312,0.0;
948.0,0.0,114.56082153320312,0.0;
990.0,0.0,114.56082153320312,0.0;
1034.0,0.0,114.56082153320312,0.0;
1076.0,0.0,114.56082153320312,0.0;
1124.0,0.0,114.56082153320312,0.0;
1168.0,0.0,114.56082153320312,0.0;
1212.0,0.0,114.56082153320312,0.0;
1263.0,0.0,114.56082153320312,0.0;
1315.0,0.0,114.56082153320312,0.0;
1361.0,0.0,114.56082153320312,0.0;
1406.0,0.0,114.56082153320312,0.0;
1452.0,0.0,114.56082153320312,0.0;
1502.0,0.0,114.56082153320312,0.0;
1547.0,0.0,114.56082153320312,0.0;
1593.0,0.0,114.56082153320312,0.0;
1638.0,0.0,114.56082153320312,0.0;
1684.0,0.0,114.56082153320312,0.0;
1730.0,0.0,114.56082153320312,0.0;
1777.0,0.0,114.56082153320312,0.0;
1825.0,0.0,114.56082153320312,0.0;
1876.0,0.0,114.56082153320312,0.0;
1925.0,0.0,114.56082153320312,0.0;
1972.0,0.0,114.56082153320312,0.0;
2019.0,0.0,114.56082153320312,0.0;
2069.0,0.0,114.56082153320312,0.0;
2113.0,0.0,114.56082153320312,0.0;
2160.0,0.0,114.56082153320312,0.0;
2206.0,0.0,114.56082153320312,0.0;
2251.0,0.0,114.56082153320312,0.0;
2297.0,0.0,114.56082153320312,0.0;
2340.0,0.0,114.56082153320312,0.0;
2386.0,0.0,114.56082153320312,0.0;
2432.0,0.0,114.56082153320312,0.0;
2488.0,0.0,114.56082153320312,0.0;
2543.0,0.0,114.56082153320312,0.0;
2592.0,0.0,114.56082153320312,0.0;
2638.0,0.0,114.56082153320312,0.0;
2698.0,0.0,114.56082153320312,0.0;
2752.0,0.0,114.56082153320312,0.0;
2800.0,0.0,114.56082153320312,0.0;
2872.0,0.0,114.56082153320312,0.0;
2932.0,0.0,114.56082153320312,0.0;
2987.0,0.0,114.56082153320312,0.0;
3035.0,0.0,114.56082153320312,0.0;
3080.0,0.0,114.56082153320312,0.0;
3128.0,0.0,114.56082153320312,0.0;
3174.0,0.0,114.56082153320312,0.0;
3219.0,0.0,114.56082153320312,0.0;
3266.0,0.0,114.56082153320312,0.0;
3312.0,0.0,114.56082153320312,0.0;
3357.0,0.0,114.56082153320312,0.0;
3402.0,0.0,114.56082153320312,0.0;
3446.0,0.0,114.56082153320312,0.0;
3491.0,0.0,114.56082153320312,0.0;
3539.0,0.0,114.56082153320312,0.0;
3586.0,0.0,114.56082153320312,0.0;
3630.0,0.0,114.56082153320312,0.0;
3675.0,0.0,114.56082153320312,0.0;
3720.0,0.0,114.56082153320312,0.0;
3768.0,0.0,114.56082153320312,0.0;
3824.0,0.0,114.56082153320312,0.0;
3872.0,0.0,114.56082153320312,0.0;
3917.0,0.0,114.56082153320312,0.0;
3959.0,0.0,114.56082153320312,0.0;
4002.0,0.0,114.56082153320312,0.0;
4048.0,0.0,114.56082153320312,0.0;
4091.0,0.0,114.56082153320312,0.0;
4133.0,0.0,114.56082153320312,0.0;
4177.0,0.0,114.56082153320312,0.0;
4219.0,0.0,114.56082153320312,0.0;
4264.0,0.0,114.56082153320312,0.0;
4324.0,0.0,114.56082153320312,0.0;
4380.0,0.0,114.56082153320312,0.0;
4437.0,0.0,114.56082153320312,0.0;
4484.0,0.0,114.56082153320312,0.0;
