%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,29/04/2021
%Start time:,15:33:22

%timestep (8Hz),voltage,position,velocity
%[#],[V],[turns],[turns/s]
2.0,0.0,114.06237030029297,0.0;
57.0,0.0,114.0623779296875,0.0038146974984556437;
101.0,0.0,114.0623779296875,0.003814697964116931;
143.0,0.0,114.0623779296875,0.0;
194.0,0.0,114.0623779296875,0.0;
236.0,0.0,114.0623779296875,0.0;
278.0,0.0,114.0623779296875,0.0;
322.0,0.0,114.0623779296875,0.0;
364.0,0.0,114.0623779296875,0.0;
406.0,0.0,114.0623779296875,0.0;
450.0,0.0,114.0623779296875,0.0;
492.0,0.0,114.0623779296875,0.0;
534.0,0.0,114.0623779296875,0.0;
577.0,0.0,114.0623779296875,0.0;
620.0,0.0,114.0623779296875,0.0;
664.0,0.0,114.0623779296875,0.0;
708.0,0.0,114.0623779296875,0.0;
750.0,0.0,114.0623779296875,0.0;
793.0,0.0,114.0623779296875,0.0;
836.0,0.0,114.0623779296875,0.0;
878.0,0.0,114.0623779296875,0.0;
921.0,0.0,114.0623779296875,0.0;
964.0,0.0,114.0623779296875,0.0;
1006.0,0.0,114.0623779296875,0.0;
1049.0,0.0,114.0623779296875,0.0;
1094.0,0.0,114.0623779296875,0.0;
1142.0,0.0,114.0623779296875,0.0;
1187.0,0.0,114.0623779296875,0.0;
1234.0,0.0,114.0623779296875,0.0;
1276.0,0.0,114.0623779296875,0.0;
1318.0,0.0,114.0623779296875,0.0;
1361.0,0.0,114.0623779296875,0.0;
1404.0,0.0,114.0623779296875,0.0;
1446.0,0.0,114.0623779296875,0.0;
1489.0,0.0,114.0623779296875,0.0;
1537.0,0.0,114.0623779296875,0.0;
1590.0,0.0,114.0623779296875,0.0;
1638.0,0.0,114.0623779296875,0.0;
1682.0,0.0,114.0623779296875,0.0;
1736.0,0.0,114.0623779296875,0.0;
1793.0,0.0,114.0623779296875,0.0;
1848.0,0.0,114.0623779296875,0.0;
1903.0,0.0,114.0623779296875,0.0;
1949.0,0.0,114.0623779296875,0.0;
2002.0,0.0,114.0623779296875,0.0;
2064.0,0.0,114.0623779296875,0.0;
2125.0,0.0,114.0623779296875,0.0;
2184.0,0.0,114.0623779296875,0.0;
2244.0,0.0,114.0623779296875,0.0;
2305.0,0.0,114.0623779296875,0.0;
2366.0,0.0,114.0623779296875,0.0;
2414.0,0.0,114.0623779296875,0.0;
2472.0,0.0,114.0623779296875,0.0;
2529.0,0.0,114.0623779296875,0.0;
2585.0,0.0,114.0623779296875,0.0;
2640.0,0.0,114.0623779296875,0.0;
2691.0,0.0,114.0623779296875,0.0;
2740.0,0.0,114.0623779296875,0.0;
2785.0,0.0,114.0623779296875,0.0;
2834.0,0.0,114.0623779296875,0.0;
2880.0,0.0,114.0623779296875,0.0;
2924.0,0.0,114.0623779296875,0.0;
2972.0,0.0,114.0623779296875,0.0;
3021.0,0.0,114.0623779296875,0.0;
3067.0,0.0,114.0623779296875,0.0;
3118.0,0.0,114.0623779296875,0.0;
3166.0,0.0,114.0623779296875,0.0;
3211.0,0.0,114.0623779296875,0.0;
3258.0,0.0,114.0623779296875,0.0;
3300.0,0.0,114.0623779296875,0.0;
3342.0,0.0,114.0623779296875,0.0;
3386.0,0.0,114.0623779296875,0.0;
3428.0,0.0,114.0623779296875,0.0;
3472.0,0.0,114.0623779296875,0.0;
3515.0,0.0,114.0623779296875,0.0;
3557.0,0.0,114.0623779296875,0.0;
3599.0,0.0,114.0623779296875,0.0;
3644.0,0.0,114.0623779296875,0.0;
3686.0,0.0,114.0623779296875,0.0;
3730.0,0.0,114.0623779296875,0.0;
3774.0,0.0,114.0623779296875,0.0;
3817.0,0.0,114.0623779296875,0.0;
3860.0,0.0,114.0623779296875,0.0;
3905.0,0.0,114.0623779296875,0.0;
3948.0,0.0,114.0623779296875,0.0;
3990.0,0.0,114.0623779296875,0.0;
4035.0,0.0,114.0623779296875,0.0;
4077.0,0.0,114.0623779296875,0.0;
4119.0,0.0,114.0623779296875,0.0;
nan,nan,nan,nan;
4172.0,0.0,114.0623779296875,0.0;
4219.0,0.0,114.0623779296875,0.0;
4266.0,0.0,114.0623779296875,0.0;
4316.0,0.0,114.0623779296875,0.0;
4363.0,0.0,114.0623779296875,0.0;
4413.0,0.0,114.0623779296875,0.0;
4468.0,0.0,114.0623779296875,0.0;
4519.0,0.0,114.0623779296875,0.0;
4568.0,0.0,114.0623779296875,0.0;
4617.0,0.0,114.0623779296875,0.0;
4662.0,0.0,114.0623779296875,0.0;
4709.0,0.0,114.0623779296875,0.0;
4755.0,0.0,114.0623779296875,0.0;
4803.0,0.0,114.0623779296875,0.0;
4851.0,0.0,114.0623779296875,0.0;
4903.0,0.0,114.0623779296875,0.0;
4949.0,0.0,114.0623779296875,0.0;
4998.0,0.0,114.0623779296875,0.0;
5045.0,0.0,114.0623779296875,0.0;
5091.0,0.0,114.0623779296875,0.0;
5143.0,0.0,114.0623779296875,0.0;
5190.0,0.0,114.0623779296875,0.0;
5237.0,0.0,114.0623779296875,0.0;
5284.0,0.0,114.0623779296875,0.0;
5329.0,0.0,114.0623779296875,0.0;
5374.0,0.0,114.0623779296875,0.0;
5417.0,0.0,114.0623779296875,0.0;
5460.0,0.0,114.0623779296875,0.0;
5502.0,0.0,114.0623779296875,0.0;
5544.0,0.0,114.0623779296875,0.0;
5588.0,0.0,114.0623779296875,0.0;
5631.0,0.0,114.0623779296875,0.0;
5685.0,0.0,114.0623779296875,0.0;
5733.0,0.0,114.0623779296875,0.0;
5774.0,0.0,114.0623779296875,0.0;
5817.0,0.0,114.0623779296875,0.0;
5860.0,0.0,114.0623779296875,0.0;
5905.0,0.0,114.0623779296875,0.0;
5948.0,0.0,114.0623779296875,0.0;
5990.0,0.0,114.0623779296875,0.0;
6040.0,0.0,114.0623779296875,0.0;
6086.0,0.0,114.0623779296875,0.0;
6134.0,0.0,114.0623779296875,0.0;
6183.0,0.0,114.0623779296875,0.0;
6241.0,0.0,114.0623779296875,0.0;
6292.0,0.0,114.0623779296875,0.0;
6340.0,0.0,114.0623779296875,0.0;
6395.0,0.0,114.0623779296875,0.0;
6451.0,0.0,114.0623779296875,0.0;
6503.0,0.0,114.0623779296875,0.0;
6559.0,0.0,114.0623779296875,0.0;
6619.0,0.0,114.0623779296875,0.0;
6667.0,0.0,114.0623779296875,0.0;
6721.0,0.0,114.0623779296875,0.0;
6769.0,0.0,114.0623779296875,0.0;
6814.0,0.0,114.0623779296875,0.0;
6865.0,0.0,114.0623779296875,0.0;
6913.0,0.0,114.0623779296875,0.0;
6959.0,0.0,114.0623779296875,0.0;
7007.0,0.0,114.0623779296875,0.0;
7058.0,0.0,114.0623779296875,0.0;
7107.0,0.0,114.0623779296875,0.0;
7149.0,0.0,114.0623779296875,0.0;
7191.0,0.0,114.0623779296875,0.0;
nan,nan,nan,nan;
7244.0,0.0,114.0623779296875,0.0;
7288.0,0.0,114.0623779296875,0.0;
7332.0,0.0,114.0623779296875,0.0;
