%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,29/04/2021
%Start time:,15:34:53

%timestep (8Hz),voltage,position,velocity
%[#],[V],[turns],[turns/s]
1.0,0.0,114.10262298583984,0.0;
56.0,0.0,114.10262298583984,0.0;
99.0,0.0,114.10262298583984,0.0;
143.0,0.0,114.10262298583984,0.0;
197.0,0.0,114.10262298583984,0.0;
nan,nan,nan,nan;
251.0,0.0,114.10262298583984,0.0;
300.0,0.0,114.10262298583984,0.0;
347.0,0.0,114.10262298583984,0.0;
392.0,0.0,114.10262298583984,0.0;
439.0,0.0,114.10262298583984,0.0;
485.0,0.0,114.10262298583984,0.0;
530.0,0.0,114.10262298583984,0.0;
579.0,0.0,114.10262298583984,0.0;
630.0,0.0,114.10262298583984,0.0;
674.0,0.0,114.10262298583984,0.0;
718.0,0.0,114.10262298583984,0.0;
761.0,0.0,114.10262298583984,0.0;
805.0,0.0,114.10262298583984,0.0;
848.0,0.0,114.10262298583984,0.0;
890.0,0.0,114.10262298583984,0.0;
933.0,0.0,114.10262298583984,0.0;
978.0,0.0,114.10262298583984,0.0;
1022.0,0.0,114.10262298583984,0.0;
1065.0,0.0,114.10262298583984,0.0;
1112.0,0.0,114.10262298583984,0.0;
1154.0,0.0,114.10262298583984,0.0;
1197.0,0.0,114.10262298583984,0.0;
1241.0,0.0,114.10262298583984,0.0;
1285.0,0.0,114.10262298583984,0.0;
1328.0,0.0,114.10262298583984,0.0;
1370.0,0.0,114.10262298583984,0.0;
1413.0,0.0,114.10262298583984,0.0;
1456.0,0.0,114.10262298583984,0.0;
1499.0,0.0,114.10262298583984,0.0;
1543.0,0.0,114.10262298583984,0.0;
1586.0,0.0,114.10262298583984,0.0;
1629.0,0.0,114.10262298583984,0.0;
1672.0,0.0,114.10262298583984,0.0;
1714.0,0.0,114.10262298583984,0.0;
1757.0,0.0,114.10262298583984,0.0;
1800.0,0.0,114.10262298583984,0.0;
1842.0,0.0,114.10262298583984,0.0;
1885.0,0.0,114.10262298583984,0.0;
1928.0,0.0,114.10262298583984,0.0;
1971.0,0.0,114.10262298583984,0.0;
2019.0,0.0,114.10262298583984,0.0;
2064.0,0.0,114.10262298583984,0.0;
2106.0,0.0,114.10262298583984,0.0;
2151.0,0.0,114.10262298583984,0.0;
2193.0,0.0,114.10262298583984,0.0;
2235.0,0.0,114.10262298583984,0.0;
2279.0,0.0,114.10262298583984,0.0;
2321.0,0.0,114.10262298583984,0.0;
2363.0,0.0,114.10262298583984,0.0;
2407.0,0.0,114.10262298583984,0.0;
2449.0,0.0,114.10262298583984,0.0;
2491.0,0.0,114.10262298583984,0.0;
2534.0,0.0,114.10262298583984,0.0;
2578.0,0.0,114.10262298583984,0.0;
2621.0,0.0,114.10262298583984,0.0;
2664.0,0.0,114.10262298583984,0.0;
2706.0,0.0,114.10262298583984,0.0;
2749.0,0.0,114.10262298583984,0.0;
2792.0,0.0,114.10262298583984,0.0;
2834.0,0.0,114.10262298583984,0.0;
2877.0,0.0,114.10262298583984,0.0;
2922.0,0.0,114.10262298583984,0.0;
2965.0,0.0,114.10262298583984,0.0;
3008.0,0.0,114.10262298583984,0.0;
