%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,29/04/2021
%Start time:,15:31:52

%timestep (8Hz),voltage,position,velocity
%[#],[V],[turns],[turns/s]
2.0,0.0,-0.16394783556461334,0.0;
57.0,0.0,-0.16394783556461334,0.0;
109.0,0.0,-0.16394783556461334,0.0;
159.0,0.0,-0.16394783556461334,0.0;
204.0,0.0,-0.16394783556461334,0.0;
249.0,0.0,-0.16394783556461334,0.0;
295.0,0.0,-0.16394783556461334,0.0;
340.0,0.0,-0.16394783556461334,0.0;
385.0,0.0,-0.16394783556461334,0.0;
431.0,0.0,-0.16394783556461334,0.0;
476.0,0.0,-0.16394783556461334,0.0;
521.0,0.0,-0.16394783556461334,0.0;
565.0,0.0,-0.16394783556461334,0.0;
610.0,0.0,-0.16394783556461334,0.0;
655.0,0.0,-0.16394783556461334,0.0;
700.0,0.0,-0.16394783556461334,0.0;
745.0,0.0,-0.16394783556461334,0.0;
789.0,0.0,-0.16394783556461334,0.0;
834.0,0.0,-0.16394783556461334,0.0;
879.0,0.0,-0.16394783556461334,0.0;
926.0,0.0,-0.16394783556461334,0.0;
970.0,0.0,-0.16394783556461334,0.0;
1015.0,0.0,-0.16394783556461334,0.0;
1060.0,0.0,-0.16394783556461334,0.0;
1105.0,0.0,-0.16394783556461334,0.0;
1149.0,0.0,-0.16394783556461334,0.0;
1194.0,0.0,-0.16394783556461334,0.0;
1239.0,0.0,-0.16394783556461334,0.0;
1284.0,0.0,-0.16394783556461334,0.0;
1329.0,0.0,-0.16394783556461334,0.0;
1373.0,0.0,-0.16394783556461334,0.0;
1418.0,0.0,-0.16394783556461334,0.0;
1463.0,0.0,-0.16394783556461334,0.0;
1508.0,0.0,-0.16394783556461334,0.0;
1553.0,0.0,-0.16394783556461334,0.0;
1597.0,0.0,-0.16394783556461334,0.0;
1642.0,0.0,-0.16394783556461334,0.0;
1687.0,0.0,-0.16394783556461334,0.0;
1732.0,0.0,-0.16394783556461334,0.0;
1777.0,0.0,-0.16394783556461334,0.0;
1821.0,0.0,-0.16394783556461334,0.0;
1866.0,0.0,-0.16394783556461334,0.0;
1914.0,0.0,-0.16394783556461334,0.0;
1961.0,0.0,-0.16394783556461334,0.0;
2005.0,0.0,-0.16394783556461334,0.0;
2050.0,0.0,-0.16394783556461334,0.0;
2095.0,0.0,-0.16394783556461334,0.0;
2140.0,0.0,-0.16394783556461334,0.0;
2185.0,0.0,-0.16394783556461334,0.0;
2229.0,0.0,-0.16394783556461334,0.0;
2274.0,0.0,-0.16394783556461334,0.0;
2319.0,0.0,-0.16394783556461334,0.0;
2364.0,0.0,-0.16394783556461334,0.0;
2409.0,0.0,-0.16394783556461334,0.0;
2453.0,0.0,-0.16394783556461334,0.0;
2500.0,0.0,-0.16394783556461334,0.0;
2545.0,0.0,-0.16394783556461334,0.0;
2591.0,0.0,-0.16394783556461334,0.0;
2636.0,0.0,-0.16394783556461334,0.0;
2681.0,0.0,-0.16394783556461334,0.0;
2725.0,0.0,-0.16394783556461334,0.0;
2770.0,0.0,-0.16394783556461334,0.0;
nan,nan,nan,nan;
2821.0,0.0,-0.16394783556461334,0.0;
2866.0,0.0,-0.16394783556461334,0.0;
2911.0,0.0,-0.16394783556461334,0.0;
2956.0,0.0,-0.16394783556461334,0.0;
3001.0,0.0,-0.16394783556461334,0.0;
3045.0,0.0,-0.16394783556461334,0.0;
3090.0,0.0,-0.16394783556461334,0.0;
3135.0,0.0,-0.16394783556461334,0.0;
3180.0,0.0,-0.16394783556461334,0.0;
3225.0,0.0,-0.16394783556461334,0.0;
3269.0,0.0,-0.16394783556461334,0.0;
3314.0,0.0,-0.16394783556461334,0.0;
3359.0,0.0,-0.16394783556461334,0.0;
3403.0,0.0,-0.16394783556461334,0.0;
3445.0,0.0,-0.16394783556461334,0.0;
3490.0,0.0,-0.16394783556461334,0.0;
3533.0,0.0,-0.16394783556461334,0.0;
3578.0,0.0,-0.16394783556461334,0.0;
3621.0,0.0,-0.16394783556461334,0.0;
3666.0,0.0,-0.16394783556461334,0.0;
3708.0,0.0,-0.16394783556461334,0.0;
3751.0,0.0,-0.16394783556461334,0.0;
3795.0,0.0,-0.16394783556461334,0.0;
3837.0,0.0,-0.16394783556461334,0.0;
3882.0,0.0,-0.16394783556461334,0.0;
3927.0,0.0,-0.16394783556461334,0.0;
3971.0,0.0,-0.16394783556461334,0.0;
4015.0,0.0,-0.16394783556461334,0.0;
4060.0,0.0,-0.16394783556461334,0.0;
4105.0,0.0,-0.16394783556461334,0.0;
4149.0,0.0,-0.16394783556461334,0.0;
4194.0,0.0,-0.16394783556461334,0.0;
4237.0,0.0,-0.16394783556461334,0.0;
4282.0,0.0,-0.16394783556461334,0.0;
4325.0,0.0,-0.16394783556461334,0.0;
4370.0,0.0,-0.16394783556461334,0.0;
4415.0,0.0,-0.16394783556461334,0.0;
4459.0,0.0,-0.16394783556461334,0.0;
4501.0,0.0,-0.16394783556461334,0.0;
4546.0,0.0,-0.16394783556461334,0.0;
4591.0,0.0,-0.16394783556461334,0.0;
4636.0,0.0,-0.16394783556461334,0.0;
4681.0,0.0,-0.16394783556461334,0.0;
4725.0,0.0,-0.16394783556461334,0.0;
4770.0,0.0,-0.16394783556461334,0.0;
4816.0,0.0,-0.16394783556461334,0.0;
4862.0,0.0,-0.16394783556461334,0.0;
4906.0,0.0,-0.16394783556461334,0.0;
