%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,02/04/2021
%Start time:,16:04:26

%timestep (8Hz),voltage,position,velocity
%[#],[V],[rad],[rad/s]
1.0,0.0,2276801.0,0.0;
53.0,0.0,2276801.0,0.0;
94.0,0.0,2276802.0,125.00000762939453;
134.0,0.0,2276802.0,0.0;
191.0,0.0,2276802.0,0.0;
235.0,0.0,2276802.0,0.0;
274.0,0.0,2276802.0,0.0;
316.0,0.0,2276802.0,0.0;
356.0,0.0,2276802.0,0.0;
396.0,0.0,2276802.0,0.0;
436.0,0.0,2276802.0,0.0;
476.0,0.0,2276802.0,0.0;
516.0,0.0,2276802.0,0.0;
556.0,0.0,2276802.0,0.0;
598.0,0.0,2276802.0,0.0;
638.0,0.0,2276802.0,0.0;
679.0,0.0,2276802.0,0.0;
719.0,0.0,2276802.0,0.0;
759.0,0.0,2276802.0,0.0;
800.0,0.0,2276802.0,0.0;
840.0,0.0,2276802.0,0.0;
881.0,0.0,2276802.0,0.0;
921.0,0.0,2276802.0,0.0;
961.0,0.0,2276802.0,0.0;
1001.0,0.0,2276802.0,0.0;
1041.0,0.0,2276802.0,0.0;
1081.0,0.0,2276802.0,0.0;
1121.0,0.0,2276802.0,0.0;
1161.0,0.0,2276802.0,0.0;
1202.0,0.0,2276802.0,0.0;
1241.0,0.0,2276802.0,0.0;
1281.0,0.0,2276802.0,0.0;
1321.0,0.0,2276802.0,0.0;
1364.0,0.0,2276802.0,0.0;
1408.0,0.0,2276802.0,0.0;
1448.0,0.0,2276802.0,0.0;
1489.0,0.0,2276802.0,0.0;
1536.0,0.0,2276802.0,0.0;
1580.0,0.0,2276802.0,0.0;
1627.0,0.0,2276802.0,0.0;
1673.0,0.0,2276802.0,0.0;
1718.0,0.0,2276802.0,0.0;
1760.0,0.0,2276802.0,0.0;
1806.0,0.0,2276802.0,0.0;
1855.0,0.0,2276802.0,0.0;
1905.0,0.0,2276802.0,0.0;
1953.0,0.0,2276802.0,0.0;
2005.0,0.0,2276802.0,0.0;
2063.0,0.0,2276802.0,0.0;
2115.0,0.0,2276802.0,0.0;
2163.0,0.0,2276802.0,0.0;
2211.0,0.0,2276802.0,0.0;
2257.0,0.0,2276802.0,0.0;
2306.0,0.0,2276802.0,0.0;
2353.0,0.0,2276802.0,0.0;
2405.0,0.0,2276802.0,0.0;
2454.0,0.0,2276802.0,0.0;
2499.0,0.0,2276802.0,0.0;
2544.0,0.0,2276802.0,0.0;
2587.0,0.0,2276802.0,0.0;
2631.0,0.0,2276802.0,0.0;
2674.0,0.0,2276802.0,0.0;
2714.0,0.0,2276802.0,0.0;
2754.0,0.0,2276802.0,0.0;
2794.0,0.0,2276802.0,0.0;
2835.0,0.0,2276802.0,0.0;
2878.0,0.0,2276802.0,0.0;
2921.0,0.0,2276802.0,0.0;
2961.0,0.0,2276802.0,0.0;
3001.0,0.0,2276802.0,0.0;
3042.0,0.0,2276802.0,0.0;
3084.0,0.0,2276802.0,0.0;
3124.0,0.0,2276802.0,0.0;
3164.0,0.0,2276802.0,0.0;
3204.0,0.0,2276802.0,0.0;
3245.0,0.0,2276802.0,0.0;
3284.0,0.0,2276802.0,0.0;
3324.0,0.0,2276802.0,0.0;
3364.0,0.0,2276802.0,0.0;
3406.0,0.0,2276802.0,0.0;
3446.0,0.0,2276802.0,0.0;
3489.0,0.0,2276802.0,0.0;
3532.0,0.0,2276802.0,0.0;
3574.0,0.0,2276802.0,0.0;
3615.0,0.0,2276802.0,0.0;
3656.0,0.0,2276802.0,0.0;
3696.0,0.0,2276802.0,0.0;
3736.0,0.0,2276802.0,0.0;
3776.0,0.0,2276802.0,0.0;
3817.0,0.0,2276802.0,0.0;
3858.0,0.0,2276802.0,0.0;
3899.0,0.0,2276802.0,0.0;
3939.0,0.0,2276802.0,0.0;
3979.0,0.0,2276802.0,0.0;
4018.0,0.0,2276802.0,0.0;
4060.0,0.0,2276802.0,0.0;
4100.0,0.0,2276802.0,0.0;
4140.0,0.0,2276802.0,0.0;
4180.0,0.0,2276802.0,0.0;
4220.0,0.0,2276802.0,0.0;
4262.0,0.0,2276802.0,0.0;
4302.0,0.0,2276802.0,0.0;
4343.0,0.0,2276802.0,0.0;
4383.0,0.0,2276802.0,0.0;
4423.0,0.0,2276802.0,0.0;
4465.0,0.0,2276802.0,0.0;
4505.0,0.0,2276802.0,0.0;
4546.0,0.0,2276802.0,0.0;
4588.0,0.0,2276802.0,0.0;
4628.0,0.0,2276802.0,0.0;
4668.0,0.0,2276802.0,0.0;
4709.0,0.0,2276802.0,0.0;
4748.0,0.0,2276802.0,0.0;
4788.0,0.0,2276802.0,0.0;
4829.0,0.0,2276802.0,0.0;
4868.0,0.0,2276802.0,0.0;
4908.0,0.0,2276802.0,0.0;
4948.0,0.0,2276802.0,0.0;
4990.0,0.0,2276802.0,0.0;
5030.0,0.0,2276802.0,0.0;
5070.0,0.0,2276802.0,0.0;
5113.0,0.0,2276802.0,0.0;
5153.0,0.0,2276802.0,0.0;
5193.0,0.0,2276802.0,0.0;
5233.0,0.0,2276802.0,0.0;
5274.0,0.0,2276802.0,0.0;
5314.0,0.0,2276802.0,0.0;
5356.0,0.0,2276802.0,0.0;
5399.0,0.0,2276802.0,0.0;
5440.0,0.0,2276802.0,0.0;
5480.0,0.0,2276802.0,0.0;
5521.0,0.0,2276802.0,0.0;
5562.0,0.0,2276802.0,0.0;
5603.0,0.0,2276802.0,0.0;
5643.0,0.0,2276802.0,0.0;
5682.0,0.0,2276802.0,0.0;
5724.0,0.0,2276802.0,0.0;
5766.0,0.0,2276802.0,0.0;
5808.0,0.0,2276802.0,0.0;
5849.0,0.0,2276802.0,0.0;
5889.0,0.0,2276802.0,0.0;
5930.0,0.0,2276802.0,0.0;
5972.0,0.0,2276802.0,0.0;
6014.0,0.0,2276802.0,0.0;
6056.0,0.0,2276802.0,0.0;
6097.0,0.0,2276802.0,0.0;
6137.0,0.0,2276802.0,0.0;
6177.0,0.0,2276802.0,0.0;
6217.0,0.0,2276802.0,0.0;
6257.0,0.0,2276802.0,0.0;
6297.0,0.0,2276802.0,0.0;
6340.0,0.0,2276802.0,0.0;
6382.0,0.0,2276802.0,0.0;
6424.0,0.0,2276802.0,0.0;
6468.0,0.0,2276802.0,0.0;
nan,nan,nan,nan;
6523.0,0.0,2276802.0,0.0;
6575.0,0.0,2276802.0,0.0;
6622.0,0.0,2276802.0,0.0;
6682.0,0.0,2276802.0,0.0;
6736.0,0.0,2276802.0,0.0;
6783.0,0.0,2276802.0,0.0;
6828.0,0.0,2276802.0,0.0;
6879.0,0.0,2276802.0,0.0;
6927.0,0.0,2276802.0,0.0;
6970.0,0.0,2276802.0,0.0;
7012.0,0.0,2276802.0,0.0;
7054.0,0.0,2276802.0,0.0;
7095.0,0.0,2276802.0,0.0;
7137.0,0.0,2276802.0,0.0;
7177.0,0.0,2276802.0,0.0;
7217.0,0.0,2276802.0,0.0;
7258.0,0.0,2276802.0,0.0;
7297.0,0.0,2276802.0,0.0;
7337.0,0.0,2276802.0,0.0;
7377.0,0.0,2276802.0,0.0;
7418.0,0.0,2276802.0,0.0;
7458.0,0.0,2276802.0,0.0;
7499.0,0.0,2276802.0,0.0;
7542.0,0.0,2276802.0,0.0;
7584.0,0.0,2276802.0,0.0;
7625.0,0.0,2276802.0,0.0;
nan,nan,nan,nan;
7672.0,0.0,2276802.0,0.0;
7712.0,0.0,2276802.0,0.0;
7753.0,0.0,2276802.0,0.0;
nan,nan,nan,nan;
7800.0,0.0,2276802.0,0.0;
7840.0,0.0,2276802.0,0.0;
7883.0,0.0,2276802.0,0.0;
7922.0,0.0,2276802.0,0.0;
7962.0,0.0,2276802.0,0.0;
8002.0,0.0,2276802.0,0.0;
8043.0,0.0,2276802.0,0.0;
8082.0,0.0,2276802.0,0.0;
8122.0,0.0,2276802.0,0.0;
8162.0,0.0,2276802.0,0.0;
8202.0,0.0,2276802.0,0.0;
8241.0,0.0,2276802.0,0.0;
8284.0,0.0,2276802.0,0.0;
8326.0,0.0,2276802.0,0.0;
8367.0,0.0,2276802.0,0.0;
8408.0,0.0,2276802.0,0.0;
8449.0,0.0,2276802.0,0.0;
8489.0,0.0,2276802.0,0.0;
8529.0,0.0,2276802.0,0.0;
8570.0,0.0,2276802.0,0.0;
8610.0,0.0,2276802.0,0.0;
8651.0,0.0,2276802.0,0.0;
nan,nan,nan,nan;
8696.0,0.0,2276802.0,0.0;
8738.0,0.0,2276802.0,0.0;
8780.0,0.0,2276802.0,0.0;
8822.0,0.0,2276802.0,0.0;
8864.0,0.0,2276802.0,0.0;
8904.0,0.0,2276802.0,0.0;
8944.0,0.0,2276802.0,0.0;
8985.0,0.0,2276802.0,0.0;
9025.0,0.0,2276802.0,0.0;
9065.0,0.0,2276802.0,0.0;
9106.0,0.0,2276802.0,0.0;
9148.0,0.0,2276802.0,0.0;
9190.0,0.0,2276802.0,0.0;
9231.0,0.0,2276802.0,0.0;
9272.0,0.0,2276802.0,0.0;
9312.0,0.0,2276802.0,0.0;
9352.0,0.0,2276802.0,0.0;
9393.0,0.0,2276802.0,0.0;
9435.0,0.0,2276802.0,0.0;
9476.0,0.0,2276802.0,0.0;
9518.0,0.0,2276802.0,0.0;
9559.0,0.0,2276802.0,0.0;
9600.0,0.0,2276802.0,0.0;
9644.0,0.0,2276802.0,0.0;
9686.0,0.0,2276802.0,0.0;
9727.0,0.0,2276802.0,0.0;
9768.0,0.0,2276802.0,0.0;
9808.0,0.0,2276802.0,0.0;
9849.0,0.0,2276802.0,0.0;
9889.0,0.0,2276802.0,0.0;
9930.0,0.0,2276802.0,0.0;
9970.0,0.0,2276802.0,0.0;
10010.0,0.0,2276802.0,0.0;
10050.0,0.0,2276802.0,0.0;
10089.0,0.0,2276802.0,0.0;
10130.0,0.0,2276802.0,0.0;
10174.0,0.0,2276802.0,0.0;
10216.0,0.0,2276802.0,0.0;
10258.0,0.0,2276802.0,0.0;
10298.0,0.0,2276802.0,0.0;
10338.0,0.0,2276802.0,0.0;
10381.0,0.0,2276802.0,0.0;
10431.0,0.0,2276802.0,0.0;
10478.0,0.0,2276802.0,0.0;
10519.0,0.0,2276802.0,0.0;
10560.0,0.0,2276802.0,0.0;
10601.0,0.0,2276802.0,0.0;
10644.0,0.0,2276802.0,0.0;
10685.0,0.0,2276802.0,0.0;
10726.0,0.0,2276802.0,0.0;
10768.0,0.0,2276802.0,0.0;
10809.0,0.0,2276802.0,0.0;
10850.0,0.0,2276802.0,0.0;
10890.0,0.0,2276802.0,0.0;
10929.0,0.0,2276802.0,0.0;
10970.0,0.0,2276802.0,0.0;
11010.0,0.0,2276802.0,0.0;
11049.0,0.0,2276802.0,0.0;
11090.0,0.0,2276802.0,0.0;
11130.0,0.0,2276802.0,0.0;
11170.0,0.0,2276802.0,0.0;
11210.0,0.0,2276802.0,0.0;
11251.0,0.0,2276802.0,0.0;
11294.0,0.0,2276802.0,0.0;
11335.0,0.0,2276802.0,0.0;
11377.0,0.0,2276802.0,0.0;
11417.0,0.0,2276802.0,0.0;
11457.0,0.0,2276802.0,0.0;
11497.0,0.0,2276802.0,0.0;
11540.0,0.0,2276802.0,0.0;
11584.0,0.0,2276802.0,0.0;
11625.0,0.0,2276802.0,0.0;
11667.0,0.0,2276802.0,0.0;
11708.0,0.0,2276802.0,0.0;
11749.0,0.0,2276802.0,0.0;
11789.0,0.0,2276802.0,0.0;
11829.0,0.0,2276802.0,0.0;
11871.0,0.0,2276802.0,0.0;
11912.0,0.0,2276802.0,0.0;
11952.0,0.0,2276802.0,0.0;
11992.0,0.0,2276802.0,0.0;
12032.0,0.0,2276802.0,0.0;
12073.0,0.0,2276802.0,0.0;
12113.0,0.0,2276802.0,0.0;
12152.0,0.0,2276802.0,0.0;
12196.0,0.0,2276802.0,0.0;
12237.0,0.0,2276802.0,0.0;
12277.0,0.0,2276802.0,0.0;
12319.0,0.0,2276802.0,0.0;
12360.0,0.0,2276802.0,0.0;
12400.0,0.0,2276802.0,0.0;
12441.0,0.0,2276802.0,0.0;
12481.0,0.0,2276802.0,0.0;
12521.0,0.0,2276802.0,0.0;
12561.0,0.0,2276802.0,0.0;
12601.0,0.0,2276802.0,0.0;
12641.0,0.0,2276802.0,0.0;
12681.0,0.0,2276802.0,0.0;
12721.0,0.0,2276802.0,0.0;
12761.0,0.0,2276802.0,0.0;
12800.0,0.0,2276802.0,0.0;
12841.0,0.0,2276802.0,0.0;
12881.0,0.0,2276802.0,0.0;
12921.0,0.0,2276802.0,0.0;
12962.0,0.0,2276802.0,0.0;
13002.0,0.0,2276802.0,0.0;
13042.0,0.0,2276802.0,0.0;
13084.0,0.0,2276802.0,0.0;
13124.0,0.0,2276802.0,0.0;
13164.0,0.0,2276802.0,0.0;
13204.0,0.0,2276802.0,0.0;
13244.0,0.0,2276802.0,0.0;
13284.0,0.0,2276802.0,0.0;
13324.0,0.0,2276802.0,0.0;
13364.0,0.0,2276802.0,0.0;
13405.0,0.0,2276802.0,0.0;
13446.0,0.0,2276802.0,0.0;
13488.0,0.0,2276802.0,0.0;
13528.0,0.0,2276802.0,0.0;
13571.0,0.0,2276802.0,0.0;
13610.0,0.0,2276802.0,0.0;
13650.0,0.0,2276802.0,0.0;
13691.0,0.0,2276802.0,0.0;
13730.0,0.0,2276802.0,0.0;
13770.0,0.0,2276802.0,0.0;
nan,nan,nan,nan;
13816.0,0.0,2276802.0,0.0;
13856.0,0.0,2276802.0,0.0;
13896.0,0.0,2276802.0,0.0;
13936.0,0.0,2276802.0,0.0;
13976.0,0.0,2276802.0,0.0;
14015.0,0.0,2276802.0,0.0;
14057.0,0.0,2276802.0,0.0;
14097.0,0.0,2276802.0,0.0;
14137.0,0.0,2276802.0,0.0;
