%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,02/04/2021
%Start time:,16:06:52

%timestep (8Hz),voltage,position,velocity
%[#],[V],[rad],[rad/s]
1.0,0.0,2299257.75,0.0;
49.0,0.0,2299257.75,0.0;
91.0,0.0,2299257.75,0.0;
137.0,0.0,2299257.75,0.0;
187.0,0.0,2299257.75,0.0;
228.0,0.0,2299257.75,0.0;
272.0,0.0,2299257.75,0.0;
307.0,0.0,2299257.75,0.0;
341.0,0.0,2299257.75,0.0;
379.0,0.0,2299257.75,0.0;
431.0,0.0,2299257.75,0.0;
479.0,0.0,2299257.75,0.0;
531.0,0.0,2299257.75,0.0;
577.0,0.0,2299257.75,0.0;
620.0,0.0,2299257.75,0.0;
663.0,0.0,2299257.75,0.0;
705.0,0.0,2299257.75,0.0;
749.0,0.0,2299257.75,0.0;
796.0,0.0,2299257.75,0.0;
872.0,0.0,2299257.75,0.0;
923.0,0.0,2299257.75,0.0;
981.0,0.0,2299257.75,0.0;
1032.0,0.0,2299257.75,0.0;
1085.0,0.0,2299257.75,0.0;
1132.0,0.0,2299257.75,0.0;
1184.0,0.0,2299257.75,0.0;
1249.0,0.0,2299257.75,0.0;
1300.0,0.0,2299257.75,0.0;
1354.0,0.0,2299257.75,0.0;
1403.0,0.0,2299257.75,0.0;
1455.0,0.0,2299257.75,0.0;
1508.0,0.0,2299257.75,0.0;
1555.0,0.0,2299257.75,0.0;
1603.0,0.0,2299257.75,0.0;
1648.0,0.0,2299257.75,0.0;
1689.0,0.0,2299257.75,0.0;
1736.0,0.0,2299257.75,0.0;
1776.0,0.0,2299257.75,0.0;
1813.0,0.0,2299257.75,0.0;
1849.0,0.0,2299257.75,0.0;
1885.0,0.0,2299257.75,0.0;
1923.0,0.0,2299257.75,0.0;
1958.0,0.0,2299257.75,0.0;
1995.0,0.0,2299257.75,0.0;
2030.0,0.0,2299257.75,0.0;
2067.0,0.0,2299257.75,0.0;
2104.0,0.0,2299257.75,0.0;
2147.0,0.0,2299257.75,0.0;
2190.0,0.0,2299257.75,0.0;
2230.0,0.0,2299257.75,0.0;
2273.0,0.0,2299257.75,0.0;
2315.0,0.0,2299257.75,0.0;
2355.0,0.0,2299257.75,0.0;
2395.0,0.0,2299257.75,0.0;
2439.0,0.0,2299257.75,0.0;
2483.0,0.0,2299257.75,0.0;
2524.0,0.0,2299257.75,0.0;
2562.0,0.0,2299257.75,0.0;
2600.0,0.0,2299257.75,0.0;
2638.0,0.0,2299257.75,0.0;
2677.0,0.0,2299257.75,0.0;
2716.0,0.0,2299257.75,0.0;
2755.0,0.0,2299257.75,0.0;
2794.0,0.0,2299257.75,0.0;
2829.0,0.0,2299257.75,0.0;
2868.0,0.0,2299257.75,0.0;
2904.0,0.0,2299257.75,0.0;
2940.0,0.0,2299257.75,0.0;
2977.0,0.0,2299257.75,0.0;
3016.0,0.0,2299257.75,0.0;
3055.0,0.0,2299257.75,0.0;
3094.0,0.0,2299257.75,0.0;
3134.0,0.0,2299257.75,0.0;
3173.0,0.0,2299257.75,0.0;
3212.0,0.0,2299257.75,0.0;
3251.0,0.0,2299257.75,0.0;
3290.0,0.0,2299257.75,0.0;
3329.0,0.0,2299257.75,0.0;
3369.0,0.0,2299257.75,0.0;
3408.0,0.0,2299257.75,0.0;
3447.0,0.0,2299257.75,0.0;
3486.0,0.0,2299257.75,0.0;
3525.0,0.0,2299257.75,0.0;
3564.0,0.0,2299257.75,0.0;
3603.0,0.0,2299257.75,0.0;
3643.0,0.0,2299257.75,0.0;
3683.0,0.0,2299257.75,0.0;
3723.0,0.0,2299257.75,0.0;
3763.0,0.0,2299257.75,0.0;
3803.0,0.0,2299257.75,0.0;
3843.0,0.0,2299257.75,0.0;
3883.0,0.0,2299257.75,0.0;
3923.0,0.0,2299257.75,0.0;
3963.0,0.0,2299257.75,0.0;
4003.0,0.0,2299257.75,0.0;
4043.0,0.0,2299257.75,0.0;
nan,nan,nan,nan;
4086.0,0.0,2299257.75,0.0;
4125.0,0.0,2299257.75,0.0;
4164.0,0.0,2299257.75,0.0;
4203.0,0.0,2299257.75,0.0;
4243.0,0.0,2299257.75,0.0;
4283.0,0.0,2299257.75,0.0;
4326.0,0.0,2299257.75,0.0;
4367.0,0.0,2299257.75,0.0;
4406.0,0.0,2299257.75,0.0;
4447.0,0.0,2299257.75,0.0;
4486.0,0.0,2299257.75,0.0;
4525.0,0.0,2299257.75,0.0;
4564.0,0.0,2299257.75,0.0;
4603.0,0.0,2299257.75,0.0;
4643.0,0.0,2299257.75,0.0;
4686.0,0.0,2299257.75,0.0;
4726.0,0.0,2299257.75,0.0;
4765.0,0.0,2299257.75,0.0;
4806.0,0.0,2299257.75,0.0;
4847.0,0.0,2299257.75,0.0;
4888.0,0.0,2299257.75,0.0;
4928.0,0.0,2299257.75,0.0;
4968.0,0.0,2299257.75,0.0;
5008.0,0.0,2299257.75,0.0;
5049.0,0.0,2299257.75,0.0;
5091.0,0.0,2299257.75,0.0;
5131.0,0.0,2299257.75,0.0;
5171.0,0.0,2299257.75,0.0;
5211.0,0.0,2299257.75,0.0;
5251.0,0.0,2299257.75,0.0;
5291.0,0.0,2299257.75,0.0;
5332.0,0.0,2299257.75,0.0;
5372.0,0.0,2299257.75,0.0;
5411.0,0.0,2299257.75,0.0;
5451.0,0.0,2299257.75,0.0;
5492.0,0.0,2299257.75,0.0;
5531.0,0.0,2299257.75,0.0;
5571.0,0.0,2299257.75,0.0;
5612.0,0.0,2299257.75,0.0;
5651.0,0.0,2299257.75,0.0;
5692.0,0.0,2299257.75,0.0;
5732.0,0.0,2299257.75,0.0;
5771.0,0.0,2299257.75,0.0;
5811.0,0.0,2299257.75,0.0;
5851.0,0.0,2299257.75,0.0;
5891.0,0.0,2299257.75,0.0;
5931.0,0.0,2299257.75,0.0;
5971.0,0.0,2299257.75,0.0;
6012.0,0.0,2299257.75,0.0;
6051.0,0.0,2299257.75,0.0;
6091.0,0.0,2299257.75,0.0;
nan,nan,nan,nan;
6134.0,0.0,2299257.75,0.0;
6175.0,0.0,2299257.75,0.0;
6214.0,0.0,2299257.75,0.0;
6254.0,0.0,2299257.75,0.0;
6292.0,0.0,2299257.75,0.0;
6331.0,0.0,2299257.75,0.0;
6371.0,0.0,2299257.75,0.0;
6411.0,0.0,2299257.75,0.0;
6452.0,0.0,2299257.75,0.0;
6491.0,0.0,2299257.75,0.0;
6531.0,0.0,2299257.75,0.0;
6571.0,0.0,2299257.75,0.0;
6611.0,0.0,2299257.75,0.0;
6651.0,0.0,2299257.75,0.0;
6692.0,0.0,2299257.75,0.0;
6731.0,0.0,2299257.75,0.0;
nan,nan,nan,nan;
6774.0,0.0,2299257.75,0.0;
6813.0,0.0,2299257.75,0.0;
6852.0,0.0,2299257.75,0.0;
6891.0,0.0,2299257.75,0.0;
6931.0,0.0,2299257.75,0.0;
6971.0,0.0,2299257.75,0.0;
7011.0,0.0,2299257.75,0.0;
7051.0,0.0,2299257.75,0.0;
7091.0,0.0,2299257.75,0.0;
