%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,02/04/2021
%Start time:,16:04:56

%timestep (8Hz),voltage,position,velocity
%[#],[V],[rad],[rad/s]
2.0,0.0,2298367.75,0.0;
50.0,0.0,2298368.0,375.0000305175781;
91.0,0.0,2298368.0,0.0;
140.0,0.0,2298368.0,0.0;
193.0,0.0,2298368.0,0.0;
243.0,0.0,2298368.0,0.0;
286.0,0.0,2298368.0,0.0;
326.0,0.0,2298368.0,0.0;
370.0,0.0,2298368.0,0.0;
413.0,0.0,2298368.0,0.0;
457.0,0.0,2298368.0,0.0;
506.0,0.0,2298368.0,0.0;
547.0,0.0,2298368.0,0.0;
589.0,0.0,2298368.0,0.0;
633.0,0.0,2298368.0,0.0;
675.0,0.0,2298368.0,0.0;
716.0,0.0,2298368.0,0.0;
759.0,0.0,2298368.0,0.0;
801.0,0.0,2298368.0,0.0;
840.0,0.0,2298368.0,0.0;
880.0,0.0,2298368.0,0.0;
920.0,0.0,2298368.0,0.0;
961.0,0.0,2298368.0,0.0;
1001.0,0.0,2298368.0,0.0;
1040.0,0.0,2298368.0,0.0;
1080.0,0.0,2298368.0,0.0;
1122.0,0.0,2298368.0,0.0;
1162.0,0.0,2298368.0,0.0;
1201.0,0.0,2298368.0,0.0;
1242.0,0.0,2298368.0,0.0;
1281.0,0.0,2298368.0,0.0;
1321.0,0.0,2298368.0,0.0;
1361.0,0.0,2298368.0,0.0;
1401.0,0.0,2298368.0,0.0;
1440.0,0.0,2298368.0,0.0;
1481.0,0.0,2298368.0,0.0;
1523.0,0.0,2298368.0,0.0;
1563.0,0.0,2298368.0,0.0;
1603.0,0.0,2298368.0,0.0;
1643.0,0.0,2298368.0,0.0;
1683.0,0.0,2298368.0,0.0;
1724.0,0.0,2298368.0,0.0;
1764.0,0.0,2298368.0,0.0;
1804.0,0.0,2298368.0,0.0;
1844.0,0.0,2298368.0,0.0;
