%Motor characterization data
%Each row's values were recorded on the same timestep
%Timestep increments at 8kHz

%Operator:
%Motor:
%ODrive axis: axis0
%Date:,02/04/2021
%Start time:,16:03:47

%timestep (8Hz),voltage,position,velocity
%[#],[V],[rad],[rad/s]
3.0,0.0,1486685.75,0.0;
55.0,0.0,1486685.75,0.0;
102.0,0.0,1486685.75,0.0;
144.0,0.0,1486685.75,0.0;
192.0,0.0,1486685.75,0.0;
232.0,0.0,1486684.75,-125.00000762939453;
272.0,0.0,1486684.75,0.0;
315.0,0.0,1486684.75,0.0;
356.0,0.0,1486684.75,0.0;
397.0,0.0,1486684.75,0.0;
437.0,0.0,1486684.75,0.0;
482.0,0.0,1486684.75,0.0;
528.0,0.0,1486684.75,0.0;
570.0,0.0,1486684.75,0.0;
611.0,0.0,1486684.75,0.0;
651.0,0.0,1486684.75,0.0;
693.0,0.0,1486684.75,0.0;
732.0,0.0,1486684.75,0.0;
774.0,0.0,1486684.75,0.0;
820.0,0.0,1486684.75,0.0;
866.0,0.0,1486684.75,0.0;
907.0,0.0,1486684.75,0.0;
949.0,0.0,1486684.75,0.0;
989.0,0.0,1486684.75,0.0;
1028.0,0.0,1486684.75,0.0;
1070.0,0.0,1486684.75,0.0;
1110.0,0.0,1486684.75,0.0;
1150.0,0.0,1486684.75,0.0;
1191.0,0.0,1486684.75,0.0;
1230.0,0.0,1486684.75,0.0;
1270.0,0.0,1486684.75,0.0;
1310.0,0.0,1486684.75,0.0;
1350.0,0.0,1486684.75,0.0;
1390.0,0.0,1486684.75,0.0;
1432.0,0.0,1486684.75,0.0;
1473.0,0.0,1486684.75,0.0;
1513.0,0.0,1486684.75,0.0;
1553.0,0.0,1486684.75,0.0;
1593.0,0.0,1486684.75,0.0;
1633.0,0.0,1486684.75,0.0;
1673.0,0.0,1486684.75,0.0;
1722.0,0.0,1486684.75,0.0;
1774.0,0.0,1486684.75,0.0;
1826.0,0.0,1486684.75,0.0;
1875.0,0.0,1486684.75,0.0;
1924.0,0.0,1486684.75,0.0;
1971.0,0.0,1486684.75,0.0;
2014.0,0.0,1486684.75,0.0;
2058.0,0.0,1486684.75,0.0;
2102.0,0.0,1486684.75,0.0;
2144.0,0.0,1486684.75,0.0;
2187.0,0.0,1486684.75,0.0;
2229.0,0.0,1486684.75,0.0;
2269.0,0.0,1486684.75,0.0;
2310.0,0.0,1486684.75,0.0;
2350.0,0.0,1486684.75,0.0;
2392.0,0.0,1486684.75,0.0;
2434.0,0.0,1486684.75,0.0;
2475.0,0.0,1486684.75,0.0;
2516.0,0.0,1486684.75,0.0;
2556.0,0.0,1486684.75,0.0;
2597.0,0.0,1486684.75,0.0;
2637.0,0.0,1486684.75,0.0;
2677.0,0.0,1486684.75,0.0;
2720.0,0.0,1486684.75,0.0;
2760.0,0.0,1486684.75,0.0;
2801.0,0.0,1486684.75,0.0;
